,precision,recall,f1-score,support
battery,0.979,0.963,0.971,190.0
biological,0.99,1.0,0.995,198.0
brown-glass,0.967,0.967,0.967,123.0
cardboard,0.966,0.961,0.964,179.0
clothes,0.989,0.992,0.991,1066.0
green-glass,0.976,0.976,0.976,127.0
metal,0.887,0.961,0.923,155.0
paper,0.943,0.952,0.948,210.0
plastic,0.923,0.822,0.869,174.0
shoes,0.967,0.972,0.97,397.0
trash,1.0,0.908,0.952,141.0
white-glass,0.834,0.904,0.868,156.0
accuracy,0.963,0.963,0.963,0.963
macro avg,0.952,0.948,0.949,3116.0
weighted avg,0.964,0.963,0.963,3116.0
